size,id,geo/0,geo/1,url,boost,title,country
143,yamxtCoy,6.9602785,50.93753,https://radio.garden/visit/cologne/yamxtCoy,FALSE,Cologne,Germany
2,59isYp5y,-97.782425,17.807125,https://radio.garden/visit/heroica-ciudad-de-huajuapan-de-leon/59isYp5y,FALSE,Heroica Ciudad de Huajuapan de Leon,Mexico
123,6lcXHtKK,13.404954,52.520008,https://radio.garden/visit/berlin/6lcXHtKK,FALSE,Berlin,Germany
2,nuAILf7K,-113.895905,45.175755,https://radio.garden/visit/salmon-id/nuAILf7K,FALSE,Salmon ID,United States
3,aV8LlVtC,-114.46087,42.562965,https://radio.garden/visit/twin-falls-id/aV8LlVtC,FALSE,Twin Falls ID,United States
2,EAt0G3SV,-123.32839,42.439007,https://radio.garden/visit/grants-pass-or/EAt0G3SV,FALSE,Grants Pass OR,United States
2,lBpjI4f1,33.606384,1.7131813,https://radio.garden/visit/soroti/lBpjI4f1,FALSE,Soroti,Uganda
2,1eXmtJAO,-116.466805,33.78054,https://radio.garden/visit/cathedral-city-ca/1eXmtJAO,FALSE,Cathedral City CA,United States
3,Rjya7k1M,-80.26443,43.139385,https://radio.garden/visit/brantford/Rjya7k1M,FALSE,Brantford,Canada
5,txlwDGaO,-6.598259,42.549995,https://radio.garden/visit/ponferrada/txlwDGaO,FALSE,Ponferrada,Spain
3,uAvXtdlH,12.915549,43.912476,https://radio.garden/visit/pesaro/uAvXtdlH,FALSE,Pesaro,Italy
3,QPH1DxwB,-0.370679,49.18286,https://radio.garden/visit/caen/QPH1DxwB,FALSE,Caen,France
48,FFcztd6Z,-73.56725,45.50169,https://radio.garden/visit/montreal/FFcztd6Z,FALSE,Montréal,Canada
1,Z5JBEXO5,-16.234564,14.656124,https://radio.garden/visit/diourbel/Z5JBEXO5,FALSE,Diourbel,Senegal
3,oBbGbVdx,22.114126,37.042236,https://radio.garden/visit/kalamata/oBbGbVdx,FALSE,Kalamata,Greece
2,7hpWO6ku,-87.26108,41.600964,https://radio.garden/visit/gary-in/7hpWO6ku,FALSE,Gary IN,United States
2,Nq97XiIG,-104.36676,19.770775,https://radio.garden/visit/autlan/Nq97XiIG,FALSE,Autlán,Mexico
3,3LzSjn1I,-117.39616,33.95335,https://radio.garden/visit/riverside-ca/3LzSjn1I,FALSE,Riverside CA,United States
2,RSbwivzC,-82.65013,34.50344,https://radio.garden/visit/anderson-sc/RSbwivzC,FALSE,Anderson SC,United States
4,TuwXlV0Q,55.513645,25.322327,https://radio.garden/visit/sharjah/TuwXlV0Q,TRUE,Sharjah,United Arab Emirates
1,BFK4HK13,-76.18417,-13.713456,https://radio.garden/visit/pisco/BFK4HK13,FALSE,Pisco,Peru
1,XfgPqaNE,-80.34111,-4.926307,https://radio.garden/visit/tambo-grande/XfgPqaNE,FALSE,Tambo Grande,Peru
5,wcFicwRC,7.3732653,5.1215878,https://radio.garden/visit/aba/wcFicwRC,FALSE,Aba,Nigeria
37,8WHtyp8V,-1.6162709,6.6666,https://radio.garden/visit/kumasi/8WHtyp8V,FALSE,Kumasi,Ghana
2,AxqujiLr,-78.81114,41.662838,https://radio.garden/visit/kane-il/AxqujiLr,FALSE,Kane PA,United States
4,NutY4Aty,1.297355,52.630886,https://radio.garden/visit/norwich/NutY4Aty,FALSE,Norwich,United Kingdom
35,fGkpLYwq,18.424055,-33.92487,https://radio.garden/visit/cape-town/fGkpLYwq,FALSE,Cape Town,South Africa
1,fhJyOW-l,-73.75251,3.127883,https://radio.garden/visit/vista-hermosa/fhJyOW-l,FALSE,Vista Hermosa,Colombia
6,NbhRjP6p,-43.115223,-22.885897,https://radio.garden/visit/niteroi-rj/NbhRjP6p,FALSE,Niterói RJ,Brazil
13,viQpgDsB,35.21371,31.768318,https://radio.garden/visit/jerusalem/viQpgDsB,FALSE,Jerusalem,Israel
1,8HtlVh06,-47.901108,-21.07718,https://radio.garden/visit/cruz-das-posses-sp/8HtlVh06,FALSE,Cruz das Posses SP,Brazil
32,CboUxFwk,-95.369804,29.760427,https://radio.garden/visit/houston-tx/CboUxFwk,FALSE,Houston TX,United States
1,sGfdNhXt,-46.118454,-20.97331,https://radio.garden/visit/carmo-do-rio-claro-mg/sGfdNhXt,FALSE,Carmo do Rio Claro MG,Brazil
23,CtQWa0jH,21.734573,38.24664,https://radio.garden/visit/patras/CtQWa0jH,FALSE,Patras,Greece
1,d9gcusYi,-76.351845,45.434746,https://radio.garden/visit/arnprior/d9gcusYi,FALSE,Arnprior,Canada
4,dtSLl1NA,39.701504,47.235714,https://radio.garden/visit/rostov-on-don/dtSLl1NA,FALSE,Rostov-on-Don,Russia
5,DArFP9BF,-51.12557,-29.691898,https://radio.garden/visit/novo-hamburgo-rs/DArFP9BF,FALSE,Novo Hamburgo RS,Brazil
3,8K5sPmvA,-59.615376,13.097756,https://radio.garden/visit/bridgetown/8K5sPmvA,TRUE,Bridgetown,Barbados
9,ACkutBKD,1.14822,52.056736,https://radio.garden/visit/ipswich/ACkutBKD,FALSE,Ipswich,United Kingdom
17,jOGzMD4t,-61.501926,10.6549015,https://radio.garden/visit/port-of-spain/jOGzMD4t,FALSE,Port of Spain,Trinidad and Tobago
14,YJk7GzEq,55.270782,25.20485,https://radio.garden/visit/dubai/YJk7GzEq,TRUE,Dubai,United Arab Emirates
3,f7h2GYP4,-76.624695,7.882761,https://radio.garden/visit/apartado/f7h2GYP4,FALSE,Apartadó,Colombia
7,nfDLDXLb,-92.94751,17.989456,https://radio.garden/visit/villahermosa/nfDLDXLb,FALSE,Villahermosa,Mexico
3,WBz0-yDB,20.801647,41.123096,https://radio.garden/visit/ohrid/WBz0-yDB,FALSE,Ohrid,North Macedonia
18,UpWDKzmZ,1.4205983,38.906734,https://radio.garden/visit/ibiza/UpWDKzmZ,FALSE,Ibiza,Spain
4,DvTiFhFy,147.15065,-9.478012,https://radio.garden/visit/port-moresby/DvTiFhFy,TRUE,Port Moresby,Papua New Guinea
1,wA2gS0BY,104.305016,52.286976,https://radio.garden/visit/irkutsk/wA2gS0BY,FALSE,Irkutsk,Russia
